date,open,high,low,close,volume,pct_chg
2007-05-16,5266.49,5405.45,5248.06,5405.27,355.86,2.97
2007-05-17,5454.5,5514.35,5442.12,5500.15,326.9,1.76
2007-05-18,5512.49,5653.69,5488.67,5617.35,326.22,2.13
2007-05-21,5459.7,5831.51,5459.7,5824.38,400.13,3.69
2007-05-22,5852.84,5857.59,5788.86,5791.04,382.58,-0.57
2007-05-23,5807.1,5863.55,5776.29,5862.15,286.93,1.23
2007-05-24,5874.17,5874.17,5669.54,5734.08,335.94,-2.19
2007-05-25,5716.26,5855.75,5716.26,5850.09,261.57,2.02
2007-05-28,5909.25,6021.05,5905.77,5978.29,347.8,2.19
2007-05-29,5987.58,6094.16,5981.25,6084.24,325.83,1.77
2007-05-30,5680.63,5930.18,5618.37,5649.4,321.03,-7.15
2007-05-31,5523.9,5602.67,5374.0,5547.12,327.88,-1.81
2007-06-01,5552.93,5653.64,5379.21,5379.21,362.53,-3.03
2007-06-04,5361.17,5361.17,4955.84,4957.82,237.01,-7.83
2007-06-05,4922.78,5034.11,4624.0,5034.11,322.12,1.54
2007-06-06,5035.29,5133.04,4958.32,5092.39,324.28,1.16
2007-06-07,5092.02,5257.58,5059.89,5257.58,319.17,3.24
2007-06-08,5268.62,5388.24,5263.51,5368.9,275.68,2.12
2007-06-11,5456.47,5504.96,5419.27,5453.38,297.12,1.57
2007-06-12,5497.05,5655.37,5389.89,5655.37,358.46,3.7
2007-06-13,5680.5,5780.64,5680.5,5735.27,307.5,1.41
2007-06-14,5726.76,5799.61,5693.48,5721.92,289.84,-0.23
2007-06-15,5685.85,5848.31,5685.85,5831.44,303.16,1.91
2007-06-18,5915.91,5970.55,5915.91,5965.87,312.57,2.31
2007-06-19,5951.82,6004.79,5892.36,5984.56,297.1,0.31
2007-06-20,5980.49,6019.36,5862.82,5862.82,293.42,-2.03
2007-06-21,5827.22,5867.18,5739.09,5793.21,230.12,-1.19
2007-06-22,5848.26,5848.26,5541.75,5588.03,245.93,-3.54
2007-06-25,5689.96,5793.44,5478.17,5485.1,305.39,-1.84
2007-06-26,5391.23,5469.7,5304.53,5469.7,209.35,-0.28
2007-06-27,5470.08,5573.9,5405.62,5567.22,201.14,1.78
2007-06-28,5553.29,5622.3,5347.93,5348.28,216.34,-3.93
2007-06-29,5236.57,5273.78,5134.27,5141.23,147.2,-3.87
2007-07-02,5117.52,5135.56,4955.12,5095.94,140.43,-0.88
2007-07-03,5116.16,5161.98,5070.87,5160.26,168.02,1.26
2007-07-04,5166.87,5195.19,5070.36,5070.75,114.19,-1.73
2007-07-05,5007.04,5007.04,4798.72,4798.72,133.24,-5.37
2007-07-06,4873.76,5002.34,4694.36,5000.97,172.85,4.22
2007-07-09,5030.84,5137.6,5003.96,5099.83,172.76,1.98
2007-07-10,5090.99,5090.99,4969.5,4987.66,159.83,-2.2
2007-07-11,4968.31,5030.73,4964.02,5022.95,127.94,0.71
2007-07-12,5029.84,5063.11,5015.61,5048.57,118.88,0.51
2007-07-13,5059.96,5079.57,5007.1,5079.57,105.95,0.61
2007-07-16,5079.62,5126.35,4985.17,4985.17,135.47,-1.86
2007-07-17,4945.86,5016.56,4929.21,5007.01,129.23,0.44
2007-07-18,5001.2,5030.62,4935.05,4962.74,134.93,-0.88
