exchange,code,name,full_name,short_name,company_full_name,list_date,board
SH,600358,国旅联合,国旅联合,国旅联合,国旅文化投资集团股份有限公司,2000-09-22,主板
SH,600359,新农开发,新农开发,新农开发,新疆塔里木农业综合开发股份有限公司,1999-04-29,主板
SH,600360,*ST华微,*ST华微,*ST华微,吉林华微电子股份有限公司,2001-03-16,主板
SH,600361,创新新材,创新新材,创新新材,创新新材料科技股份有限公司,2001-11-29,主板
SH,600362,江西铜业,江西铜业,江西铜业,江西铜业股份有限公司,2002-01-11,主板
SH,600363,联创光电,联创光电,联创光电,江西联创光电科技股份有限公司,2001-03-29,主板
SH,600365,ST通葡,ST通葡,ST通葡,通化葡萄酒股份有限公司,2001-01-15,主板
SH,600366,宁波韵升,宁波韵升,宁波韵升,宁波韵升股份有限公司,2000-10-30,主板
SH,600367,红星发展,红星发展,红星发展,贵州红星发展股份有限公司,2001-03-20,主板
SH,600368,五洲交通,五洲交通,五洲交通,广西五洲交通股份有限公司,2000-12-21,主板
SH,600369,西南证券,西南证券,西南证券,西南证券股份有限公司,2001-01-09,主板
SH,600370,*ST三房,*ST三房,*ST三房,江苏三房巷聚材股份有限公司,2003-03-06,主板
SH,600371,万向德农,万向德农,万向德农,万向德农股份有限公司,2002-09-16,主板
SH,600372,中航机载,中航机载,中航机载,中航机载系统股份有限公司,2001-07-06,主板
SH,600373,中文传媒,中文传媒,中文传媒,中文天地出版传媒集团股份有限公司,2002-03-04,主板
SH,600375,汉马科技,汉马科技,汉马科技,汉马科技集团股份有限公司,2003-04-01,主板
SH,600376,首开股份,首开股份,首开股份,北京首都开发股份有限公司,2001-03-12,主板
SH,600377,宁沪高速,宁沪高速,宁沪高速,江苏宁沪高速公路股份有限公司,2001-01-16,主板
SH,600378,昊华科技,昊华科技,昊华科技,昊华化工科技集团股份有限公司,2001-01-11,主板
SH,600379,宝光股份,宝光股份,宝光股份,陕西宝光真空电器股份有限公司,2002-01-16,主板
SH,600380,健康元,健康元,健康元,健康元药业集团股份有限公司,2001-06-08,主板
